iter	Passed	Remaining
0	555	1110603
1	1108	1107374
2	1686	1122942
3	2287	1141580
4	2775	1107332
5	3368	1119415
6	3937	1121133
7	4471	1113283
8	5049	1117094
9	5862	1166637
10	6634	1199718
11	7413	1228204
12	7942	1214053
13	8465	1200934
14	9063	1199454
15	9712	1204335
16	10250	1195747
17	10844	1194112
18	11302	1178393
19	11893	1177493
20	12721	1198848
21	13317	1197339
22	13880	1193099
23	14483	1192493
24	15116	1194193
25	15684	1190780
26	16241	1186816
27	16814	1184234
28	17383	1181492
29	18012	1182851
30	18449	1171850
31	19036	1170771
32	19642	1170832
33	20163	1165925
34	20874	1171947
35	21452	1170337
36	21910	1162444
37	22517	1162592
38	23160	1164564
39	23682	1160429
40	24341	1163036
41	24944	1162880
42	25501	1160593
43	26095	1160044
44	26511	1151793
45	27128	1152369
46	27744	1152884
47	28444	1156754
48	28995	1154493
49	29683	1157655
50	30233	1155409
51	30828	1154878
52	31461	1155782
53	32105	1156990
54	32783	1159329
55	33475	1162095
56	34136	1163632
57	34800	1165218
58	35559	1169847
59	36186	1170042
60	36778	1169083
61	37371	1168163
62	37888	1164930
63	38389	1161271
64	39080	1163393
65	39670	1162465
66	40250	1161250
67	40886	1161656
68	41226	1153739
69	41759	1151367
70	42399	1151952
71	43001	1151474
72	43629	1151708
73	44286	1152656
74	44861	1151457
75	45409	1149574
76	46000	1148818
77	46586	1147934
78	47248	1148922
79	47877	1149048
80	48530	1149755
81	49237	1151674
82	49928	1153171
83	50194	1144917
84	50818	1144921
85	51424	1144499
86	52061	1144761
87	52394	1138391
88	52974	1137459
89	53678	1139185
90	54280	1138705
91	54860	1137767
92	55422	1136461
93	55885	1133171
94	56439	1131766
95	57109	1132668
96	57360	1125330
97	57858	1122928
98	58399	1121396
99	58711	1115512
100	59219	1113440
101	59841	1113522
102	60369	1111852
103	61009	1112257
104	61622	1112145
105	62174	1110923
106	62842	1111775
107	63346	1109742
108	63964	1109691
109	64536	1108856
110	65050	1107037
111	65630	1106337
112	66327	1107610
113	66907	1106902
114	67526	1106849
115	68234	1108227
116	68886	1108659
117	69497	1108430
118	70056	1107361
119	70303	1101419
120	70887	1100807
121	71476	1100272
122	72137	1100823
123	72737	1100444
124	73432	1101488
125	74212	1103761
126	74845	1103819
127	75066	1097850
128	75687	1097757
129	76148	1095370
130	76722	1094612
131	77283	1093674
132	77775	1091784
133	78171	1088562
134	78707	1087328
135	79202	1085539
136	79777	1084851
137	80283	1083247
138	80780	1081526
139	81370	1081066
140	82123	1082754
141	82662	1081604
142	83268	1081330
143	83785	1079897
144	84150	1076540
145	84457	1072490
146	85067	1072312
147	85664	1071959
148	86310	1072215
149	86599	1068054
150	87204	1067818
151	87861	1068211
152	88478	1068102
153	89023	1067131
154	89664	1067294
155	90243	1066725
156	90910	1067181
157	91348	1064964
158	92007	1065318
159	92394	1062541
160	92922	1061393
161	93562	1061531
162	94098	1060481
163	94789	1061176
164	95337	1060271
165	95929	1059851
166	96409	1058191
167	97065	1058479
168	97678	1058280
169	98306	1058241
170	98902	1057852
171	99499	1057468
172	100074	1056857
173	100648	1056228
174	101322	1056649
175	101869	1055737
176	102487	1055563
177	103172	1056072
178	103671	1054670
179	104392	1055526
180	104940	1054625
181	105429	1053134
182	106030	1052772
183	106634	1052440
184	107362	1053310
185	107943	1052739
186	108520	1052128
187	109137	1051898
188	109411	1048382
189	109596	1044055
190	110193	1043663
191	110929	1044581
192	111504	1043986
193	112067	1043265
194	112702	1043223
195	113282	1042663
196	113936	1042774
197	114432	1041454
198	114630	1037435
199	115236	1037131
200	115541	1034128
201	116155	1033902
202	116826	1034175
203	117440	1033935
204	117928	1032589
205	118132	1028784
206	118331	1024964
207	118927	1024605
208	119596	1024863
209	119899	1021998
210	120436	1021139
211	121128	1021596
212	121756	1021498
213	122351	1021118
214	122891	1020282
215	123325	1018579
216	123802	1017231
217	124398	1016872
218	125082	1017224
219	125794	1017793
220	126322	1016865
221	126993	1017094
222	127228	1013833
223	127880	1013912
224	128613	1014615
225	129474	1016317
226	129770	1013582
227	130369	1013221
228	131080	1013726
229	131856	1014721
230	132527	1014895
231	133206	1015124
232	133882	1015322
233	134388	1014232
234	134995	1013904
235	135692	1014243
236	136149	1012792
237	136648	1011658
238	137162	1010642
239	137773	1010342
240	138315	1009529
241	138758	1008005
242	139263	1006936
243	139828	1006309
244	140417	1005849
245	141064	1005801
246	141608	1005016
247	142312	1005365
248	142910	1004967
249	143531	1004718
250	144189	1004729
251	144791	1004347
252	145428	1004206
253	146045	1003922
254	146538	1002781
255	147111	1002195
256	147655	1001411
257	148249	1000968
258	148848	1000558
259	149491	1000444
260	150061	999833
261	150644	999316
262	151222	998755
263	151897	998840
264	152469	998245
265	153095	997998
266	153592	996910
267	153885	994516
268	154455	993910
269	155044	993434
270	155648	993049
271	156345	993251
272	156560	990402
273	157140	989868
274	157655	988932
275	158293	988763
276	158915	988487
277	159483	987878
278	160138	987808
279	160773	987611
280	161403	987373
281	162035	987150
282	162543	986173
283	163121	985624
284	163616	984567
285	164192	984009
286	164815	983724
287	165473	983646
288	166090	983322
289	166775	983398
290	167377	982984
291	168005	982718
292	168569	982077
293	169006	980697
294	169583	980135
295	170133	979418
296	170723	978931
297	171365	978741
298	172016	978594
299	172587	977994
300	173209	977684
301	174147	979145
302	174905	979585
303	175587	979595
304	176378	980203
305	177111	980479
306	177916	981146
307	178734	981877
308	179571	982705
309	180287	982859
310	181020	983096
311	181724	983176
312	182492	983595
313	183413	984826
314	184156	985088
315	184885	985276
